
---------- Begin Simulation Statistics ----------
simSeconds                                   0.135607                       # Number of seconds simulated (Second)
simTicks                                 135607450076                       # Number of ticks simulated (Tick)
finalTick                                135607450076                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1344.85                       # Real time elapsed on the host (Second)
hostTickRate                                100834561                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8620116                       # Number of bytes of host memory used (Byte)
simInsts                                    238353225                       # Number of instructions simulated (Count)
simOps                                      241295888                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   177234                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     179422                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        284889602                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.194603                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.837098                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       252303595                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      542                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      248109678                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  21307                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11008248                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          11959756                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 177                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           284508435                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.872064                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.011416                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 126151771     44.34%     44.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  97416288     34.24%     78.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  40778846     14.33%     92.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  13818224      4.86%     97.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4156986      1.46%     99.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2068171      0.73%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    114973      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      3019      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       157      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             284508435                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  361987      9.90%      9.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   8345      0.23%     10.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     108      0.00%     10.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 97256      2.66%     12.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                509804     13.95%     26.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 56309      1.54%     28.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               153260      4.19%     32.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             98464      2.69%     35.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                   453      0.01%     35.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                26601      0.73%     35.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     35.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     35.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     35.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     12      0.00%     35.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                    591      0.02%     35.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     31      0.00%     35.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                   150      0.00%     35.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     35.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     35.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     35.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     35.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     35.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     35.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     35.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     35.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     35.93% # attempts to use FU when none available (Count)
