
---------- Begin Simulation Statistics ----------
simSeconds                                   0.143866                       # Number of seconds simulated (Second)
simTicks                                 143866223340                       # Number of ticks simulated (Tick)
finalTick                                143866223340                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1670.25                       # Real time elapsed on the host (Second)
hostTickRate                                 86134763                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8712068                       # Number of bytes of host memory used (Byte)
simInsts                                    314287542                       # Number of instructions simulated (Count)
simOps                                      402599129                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   188168                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     241042                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        302239966                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.961224                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.040340                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       427483290                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    10523                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      436545062                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 238123                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             24894683                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          17174506                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2928                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           299801445                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.456114                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.244059                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  89188980     29.75%     29.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  64104170     21.38%     51.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  89280446     29.78%     80.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  38755916     12.93%     93.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  15007053      5.01%     98.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3219901      1.07%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    233973      0.08%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      7351      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      3655      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             299801445                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4283406     12.17%     12.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  69720      0.20%     12.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     788      0.00%     12.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     12.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     6      0.00%     12.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   231      0.00%     12.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     12.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     12.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                    25      0.00%     12.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    8      0.00%     12.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     12.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                2879807      8.18%     20.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc              870355      2.47%     23.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                6075977     17.26%     40.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                 239657      0.68%     40.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    231      0.00%     40.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                693176      1.97%     42.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                 22208      0.06%     43.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc              87281      0.25%     43.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     43.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift              1032886      2.93%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     46.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     46.19% # attempts to use FU when none available (Count)
