
---------- Begin Simulation Statistics ----------
simSeconds                                   0.136016                       # Number of seconds simulated (Second)
simTicks                                 136015671008                       # Number of ticks simulated (Tick)
finalTick                                136015671008                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1413.39                       # Real time elapsed on the host (Second)
hostTickRate                                 96233707                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8620120                       # Number of bytes of host memory used (Byte)
simInsts                                    238353212                       # Number of instructions simulated (Count)
simOps                                      241295875                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   168639                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     170721                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        285747209                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.198199                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.834586                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       252340873                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      544                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      250714743                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  31003                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11045541                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          11990298                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 179                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           285369478                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.878562                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.954509                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 121886777     42.71%     42.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 100252337     35.13%     77.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  42480924     14.89%     92.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  17772535      6.23%     98.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2714862      0.95%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    249235      0.09%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     12374      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       386      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        48      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             285369478                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  272977      3.76%      3.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   7247      0.10%      3.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     146      0.00%      3.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 85922      1.18%      5.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                503999      6.94%     11.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 57067      0.79%     12.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               144011      1.98%     14.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             87669      1.21%     15.97% # attempts to use FU when none available (Count)
