
---------- Begin Simulation Statistics ----------
simSeconds                                   0.135542                       # Number of seconds simulated (Second)
simTicks                                 135542008644                       # Number of ticks simulated (Tick)
finalTick                                135542008644                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1348.20                       # Real time elapsed on the host (Second)
hostTickRate                                100535503                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8620120                       # Number of bytes of host memory used (Byte)
simInsts                                    238353236                       # Number of instructions simulated (Count)
simOps                                      241295900                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   176794                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     178976                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        284752120                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.194026                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.837503                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       252304064                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      541                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      248113086                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  13724                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11008704                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          11965594                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 176                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           284370707                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.872499                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.015704                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 126156784     44.36%     44.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  97482260     34.28%     78.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  40683814     14.31%     92.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  13423209      4.72%     97.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4304690      1.51%     99.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2156468      0.76%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    152809      0.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      9767      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       906      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             284370707                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   3124      0.10%      0.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      34      0.00%      0.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 97993      2.98%      3.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                510813     15.54%     18.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 56308      1.71%     20.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               154739      4.71%     25.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             98021      2.98%     28.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                   454      0.01%     28.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                27113      0.82%     28.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     28.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     28.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     28.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     12      0.00%     28.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                    595      0.02%     28.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     39      0.00%     28.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                   148      0.00%     28.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     28.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     28.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     28.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     28.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     28.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     28.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     28.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     28.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     28.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     28.88% # attempts to use FU when none available (Count)
